METRO_CODE,METRO_NAME,MLS_CODE,MLS_SHORT_NAME,MLS_LONG_NAME,NUM_LISTINGS
des-moines-ia,"Des Moines, IA",IA_DMAAR,IA_DMAAR,Des Moines Area Association of REALTORS,4877
des-moines-ia,"Des Moines, IA",IA_FIMLS,SE Iowa Regional MLS,Southeast Iowa Regional MLS,2
des-moines-ia,"Des Moines, IA",IA_NEIMLS,IA_NEIMLS,Iowa Northeast Regional Board of Realtors,1
detroit-lakes-mn,"Detroit Lakes, MN",MN_GAAAR,MN_GAAAR,Greater Alexandria Area Association of Realtors,5
detroit-lakes-mn,"Detroit Lakes, MN",MN_LCAR,MN_LCAR,Lakes Country Association of REALTORS,674
detroit-lakes-mn,"Detroit Lakes, MN",MN_LRAR,MN_LRAR,Lakes Region Association of Realtors,119
detroit-lakes-mn,"Detroit Lakes, MN",NSMLS,NorthStarMLS,"Regional Multiple Listing Service of Minnesota, Inc",41
detroit-mi,"Detroit, MI",MI_BCRA,MI_BCRA,Bay County Realtors Association,13
detroit-mi,"Detroit, MI",MI_DRAR,MI_DRAR,Down River Association of Realtors,116
detroit-mi,"Detroit, MI",MI_FAAR,MI_FAAR,Flint Area Association of Realtors,17453
detroit-mi,"Detroit, MI",MI_GSAR,MI_GSAR,Greater Shiawassee Association of REALTORS,21601
detroit-mi,"Detroit, MI",MI_JMLS,MI_JMLS,Jackson Association of Realtors,20941
detroit-mi,"Detroit, MI",MI_REALCOMP,MI_REALCOMP,Realcomp II LTD,18190
detroit-mi,"Detroit, MI",MI_REALSOURCE,MI_REALSOURCE,"MiRealSource, Inc.",25548
dickens-county-tx,"Dickens, TX",TX_LAR,TX_LAR,Lubbock Association of Realtors,8
